publish_date,neg,neu,pos,compound,sentiment
2001-12-03,0.181,0.72,0.099,-0.9992,negative
2001-12-04,0.068,0.872,0.06,-0.9743,negative
2001-12-05,0.122,0.789,0.089,-0.9934,negative
2001-12-06,0.114,0.797,0.089,-0.9981,negative
2001-12-07,0.11,0.825,0.065,-0.9973,negative
2001-12-08,0.139,0.768,0.093,-0.9986,negative
2001-12-09,0.11,0.813,0.077,-0.9954,negative
2001-12-10,0.129,0.794,0.077,-0.9978,negative
2001-12-11,0.113,0.804,0.083,-0.9959,negative
2001-12-12,0.099,0.846,0.054,-0.9932,negative
2001-12-13,0.145,0.767,0.087,-0.9986,negative
2001-12-14,0.162,0.728,0.11,-0.9986,negative
2001-12-15,0.151,0.793,0.057,-0.9993,negative
2001-12-16,0.163,0.761,0.077,-0.9991,negative
2001-12-17,0.115,0.8,0.085,-0.9864,negative
2001-12-18,0.11,0.823,0.066,-0.9953,negative
2001-12-19,0.119,0.797,0.085,-0.9954,negative
2001-12-20,0.114,0.821,0.065,-0.9963,negative
2001-12-21,0.104,0.829,0.067,-0.9971,negative
2001-12-22,0.133,0.809,0.058,-0.9989,negative
2001-12-23,0.114,0.826,0.061,-0.9962,negative
2001-12-24,0.159,0.759,0.083,-0.9991,negative
2001-12-25,0.176,0.703,0.121,-0.9988,negative
2001-12-26,0.118,0.818,0.065,-0.9972,negative
2001-12-27,0.111,0.798,0.09,-0.9928,negative
2001-12-28,0.121,0.796,0.083,-0.9956,negative
2001-12-29,0.141,0.789,0.07,-0.9984,negative
2001-12-30,0.104,0.812,0.084,-0.9919,negative
2001-12-31,0.127,0.819,0.054,-0.9967,negative
2002-01-01,0.135,0.758,0.107,-0.9976,negative
2002-01-02,0.087,0.845,0.068,-0.9922,negative
2002-01-03,0.089,0.847,0.064,-0.9959,negative
2002-01-04,0.129,0.784,0.087,-0.9983,negative
2002-01-05,0.105,0.818,0.076,-0.9964,negative
2002-01-06,0.107,0.773,0.12,0.9613,positive
2002-01-07,0.1,0.811,0.089,-0.9507,negative
2002-01-08,0.103,0.811,0.085,-0.9942,negative
2002-01-09,0.099,0.83,0.071,-0.9974,negative
2002-01-10,0.083,0.857,0.06,-0.9944,negative
2002-01-11,0.156,0.774,0.07,-0.9996,negative
2002-01-12,0.122,0.792,0.086,-0.9982,negative
2002-01-13,0.13,0.77,0.1,-0.9967,negative
2002-01-14,0.093,0.785,0.122,0.9959,positive
2002-01-15,0.087,0.821,0.092,-0.8597,negative
2002-01-16,0.13,0.783,0.087,-0.9984,negative
2002-01-17,0.105,0.809,0.086,-0.9942,negative
2002-01-18,0.125,0.772,0.103,-0.9959,negative
2002-01-19,0.08,0.858,0.063,-0.9854,negative
2002-01-20,0.114,0.797,0.089,-0.9914,negative
2002-01-21,0.125,0.758,0.117,-0.9644,negative
2002-01-22,0.115,0.798,0.087,-0.9987,negative
2002-01-23,0.114,0.792,0.095,-0.9919,negative
2002-01-24,0.105,0.801,0.095,-0.984,negative
2002-01-25,0.1,0.819,0.08,-0.9917,negative
2002-01-26,0.11,0.787,0.103,-0.8173,negative
2002-01-27,0.11,0.765,0.124,0.9706,positive
2002-01-28,0.105,0.805,0.09,-0.9812,negative
2002-01-29,0.116,0.793,0.092,-0.9962,negative
2002-01-30,0.101,0.833,0.066,-0.9983,negative
2002-01-31,0.098,0.833,0.069,-0.9944,negative
2002-02-01,0.129,0.784,0.087,-0.997,negative
2002-02-02,0.135,0.788,0.077,-0.9992,negative
2002-02-03,0.089,0.819,0.092,0.9093,positive
2002-02-04,0.084,0.823,0.093,-0.6452,negative
2002-02-05,0.088,0.857,0.055,-0.9971,negative
2002-02-06,0.126,0.777,0.097,-0.998,negative
2002-02-07,0.104,0.805,0.09,-0.9916,negative
2002-02-08,0.102,0.826,0.073,-0.9966,negative
2002-02-09,0.146,0.757,0.097,-0.9989,negative
2002-02-10,0.105,0.797,0.098,-0.9731,negative
2002-02-11,0.072,0.839,0.089,0.9954,positive
2002-02-12,0.095,0.81,0.096,-0.8872,negative
2002-02-13,0.127,0.769,0.103,-0.9975,negative
2002-02-14,0.097,0.822,0.081,-0.9862,negative
2002-02-15,0.135,0.768,0.097,-0.9983,negative
2002-02-16,0.143,0.764,0.093,-0.999,negative
2002-02-17,0.114,0.808,0.078,-0.9975,negative
2002-02-18,0.09,0.833,0.078,-0.9891,negative
2002-02-19,0.095,0.793,0.112,0.9806,positive
2002-02-20,0.103,0.833,0.064,-0.9982,negative
2002-02-21,0.118,0.788,0.093,-0.9979,negative
2002-02-22,0.125,0.77,0.105,-0.9952,negative
2002-02-23,0.13,0.792,0.078,-0.9986,negative
2002-02-24,0.111,0.771,0.118,0.7755,positive
2002-02-25,0.115,0.789,0.096,-0.9957,negative
